127.0.0.1 - - [20/Jun/2021:23:53:52 +0700] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:53 +0700] "GET /TrainingGESO/ HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:53 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:53 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:53 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:53 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "POST /TrainingGESO/ HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/index.jsp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:53:57 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "POST /TrainingGESO/index.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/index.jsp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:04 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "POST /TrainingGESO/index.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35148
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/js/md5.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:06 +0700] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:21 +0700] "GET /TrainingGESO/ HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:21 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:21 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:21 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:21 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:30 +0700] "GET /TrainingGESO/ HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:30 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:30 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:30 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:30 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "POST /TrainingGESO/ HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/index.jsp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:37 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "POST /TrainingGESO/index.jsp HTTP/1.1" 200 3935
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/index.jsp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:44 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "POST /TrainingGESO/index.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "POST /TrainingGESO/LoginSvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/index.jsp HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/pages/css/pages/images/wmove2doc.png HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:54:57 +0700] "GET /TrainingGESO/CaptchaSvl HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:55:13 +0700] "POST /TrainingGESO/index.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:55:13 +0700] "GET /TrainingGESO/pages/images/point_make_area_transparent.png HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Jun/2021:23:55:13 +0700] "GET /TrainingGESO/pages/css/pages/images/borderBottomLeft.png HTTP/1.1" 404 1123
