0:0:0:0:0:0:0:1 - - [09/Dec/2021:10:49:40 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:10:49:40 +0700] "GET /TrainingGESO/pages/Erp/donhangupdate.jsp HTTP/1.1" 200 53432
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:54 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:54 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:54 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:54 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:56 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:57 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:58 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:58 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:20:58 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:00 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&display=100302 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:00 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 53433
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:02 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:02 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:02 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:03 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:03 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:03 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:06 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:06 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 47584
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:06 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:07 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:07 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:07 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:10 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:10 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:10 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:12 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:12 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:12 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:11:21:14 +0700] "GET /TrainingGESO/pages/css/spinner.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:54:49 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:54:49 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:54:49 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:54:49 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:59:32 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&display=100302 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:59:32 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 53433
0:0:0:0:0:0:0:1 - - [09/Dec/2021:15:59:32 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:02:45 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:02:45 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:02:45 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:16 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:16 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:16 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:19 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&display=100302 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:19 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 53455
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:22 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:22 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:22 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:24 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&display=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:24 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 53448
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:38 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:38 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:16:03:38 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:03:22 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:03:22 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:03:22 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:03:22 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:03:24 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&update=100348 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:04:39 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:04:39 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:04:39 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:22 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:22 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:22 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:22 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:23 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:23 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:27 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=null&display=100348 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Dec/2021:17:06:27 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 53461
