0:0:0:0:0:0:0:1 - - [25/May/2021:08:27:03 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/May/2021:08:27:03 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/May/2021:08:27:03 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35169
0:0:0:0:0:0:0:1 - - [25/May/2021:08:27:06 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:08:27:06 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 7456
0:0:0:0:0:0:0:1 - - [25/May/2021:08:34:36 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:08:34:36 +0700] "GET /TrainingGESO/pages/Erp/hocsinhnew.jsp HTTP/1.1" 200 3795
0:0:0:0:0:0:0:1 - - [25/May/2021:08:46:54 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:08:46:54 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [25/May/2021:08:46:58 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:08:46:58 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [25/May/2021:08:47:01 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:08:47:01 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 7456
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/Center/mainpage.jsp HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/Center/top.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/Center/leftMenu.jsp HTTP/1.1" 200 35169
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/Center/home.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/js/md5.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/js/scripts.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:41 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:44 +0700] "GET /TrainingGESO/HocSinhsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:44 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:46 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:46 +0700] "GET /TrainingGESO/pages/Erp/Hocsinhlist.jsp HTTP/1.1" 200 4603
0:0:0:0:0:0:0:1 - - [25/May/2021:09:24:48 +0700] "POST /TrainingGESO/HocSinhsvl HTTP/1.1" 302 -
