127.0.0.1 - - [15/Nov/2021:09:42:33 +0700] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:36 +0700] "GET /TrainingGESO/pages/images/Canfoco.jpg HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:36 +0700] "GET /TrainingGESO/pages/images/expandbtn.gif HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:36 +0700] "GET /TrainingGESO/pages/images/silver_triangle.gif HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:36 +0700] "GET /TrainingGESO/pages/Center/print.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:36 +0700] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:38 +0700] "GET /TrainingGESO/pages/images/collapsebtn.gif HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:39 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:39 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:39 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:39 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:41 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100348 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:41 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52990
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:42:41 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:42 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:42 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:42 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:44 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100348 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:44 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52990
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:50 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:50 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:50 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:52 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:52 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52977
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:56 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:56 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:48:56 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:33 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:33 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:33 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:35 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:35 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 51141
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:38 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:39 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:52:39 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:16 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:16 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:16 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:16 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:17 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:17 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52977
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:21 +0700] "POST /TrainingGESO/pages/Erp/sanphamAjax.jsp?donhangsua=1&letters=5 HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:26 +0700] "POST /TrainingGESO/pages/Erp/sanphamAjax.jsp?donhangsua=1&letters=9 HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:28 +0700] "POST /TrainingGESO/pages/Erp/sanphamAjax.jsp?donhangsua=1&letters=4 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:31 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:31 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:09:59:31 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:05 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:05 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52977
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:09 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:09 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:09 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:10:07:09 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:12:00:45 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100302 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:12:00:45 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52984
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:28 +0700] "GET /TrainingGESO/pages/images/Canfoco.jpg HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:28 +0700] "GET /TrainingGESO/pages/images/expandbtn.gif HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:28 +0700] "GET /TrainingGESO/pages/images/silver_triangle.gif HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:28 +0700] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:36 +0700] "GET /TrainingGESO/pages/images/collapsebtn.gif HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:38 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:38 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:38 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:14:12:38 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/pages/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/pages/css/select2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:22 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:23 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 51141
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:23 +0700] "GET /TrainingGESO/pages/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:15:23 +0700] "GET /TrainingGESO/pages/css/speechbubbles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:17 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:17 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:17 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:17 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:18 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100393 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:18:19 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52977
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:26 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:26 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:26 +0700] "GET /TrainingGESO/pages/Erp/..scripts/jquery-1.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:26 +0700] "GET /TrainingGESO/pages/css/bkg.png HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:28 +0700] "GET /TrainingGESO/DonhangUpdatesvl?userId=100002&update=100302 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2021:18:26:28 +0700] "GET /TrainingGESO/pages/Erp/donhangsua.jsp HTTP/1.1" 200 52984
