0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:07 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:09 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:09 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43124
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:09 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:41 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:41 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:43 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:43 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43136
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:22:43 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:29 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:29 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:31 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:31 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43141
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:31 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:58 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:23:58 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:00 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:00 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43123
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:00 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:15 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:15 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:17 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:17 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43123
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:17 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:29 +0700] "GET /TrainingGESO/Donhanglistsvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:29 +0700] "GET /TrainingGESO/pages/Erp/donhanglist.jsp HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:31 +0700] "POST /TrainingGESO/Donhanglistsvl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:31 +0700] "GET /TrainingGESO/pages/Erp/donhangnew.jsp HTTP/1.1" 200 43123
0:0:0:0:0:0:0:1 - - [03/Jul/2021:08:24:31 +0700] "GET /TrainingGESO/pages/scripts/ajax-dynamic-List.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/DonBanHang_ThuSvl?userId=100002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:10:57:46 +0700] "GET /TrainingGESO/pages/Erp/DonBanHang_Thu.jsp HTTP/1.1" 200 10872
